region_1_mean,region_1_std,region_1_entropy,region_2_mean,region_2_std,region_2_entropy,region_3_mean,region_3_std,region_3_entropy,region_4_mean,region_4_std,region_4_entropy,label
784.0,2338.7042085308694,3.5,784.0,2186.616621632608,3.702819531114783,784.0,1803.4971929559524,3.702819531114783,784.0,1725.848631833047,3.8750000000000004,1.0
784.0,2188.796701386403,3.702819531114783,784.0,2339.9482633169478,3.5,784.0,1725.9590449949849,3.8750000000000004,784.0,1804.4265016896643,3.702819531114783,1.0
784.0,2428.707861188743,3.702819531114783,784.0,2304.35633637682,3.702819531114783,784.0,1893.141932080107,4.0,784.0,1809.5308093536291,3.8750000000000004,1.0
784.0,2304.373993083588,3.702819531114783,784.0,2430.153055879403,3.702819531114783,784.0,1809.5118816962768,3.8750000000000004,784.0,1894.4389340910411,4.0,1.0
784.0,2139.346716874102,3.5,784.0,1842.5887699104214,3.8750000000000004,784.0,1876.592357172969,3.8750000000000004,784.0,1731.0859669583137,3.8750000000000004,1.0
784.0,1844.3918374358525,3.8750000000000004,784.0,2142.567793559868,3.5,784.0,1729.9629331289154,3.702819531114783,784.0,1880.274148894251,4.0,1.0
784.0,2197.191872595564,4.0,784.0,1904.476240334859,3.8750000000000004,784.0,1884.715562094185,3.8750000000000004,784.0,1723.9414143177835,4.0,1.0
784.0,1905.7736945923039,4.0,784.0,2197.783542571925,4.0,784.0,1725.1365887952177,4.0,784.0,1885.8982276358392,3.8750000000000004,1.0
784.0,2278.823874282521,3.75,784.0,1986.1157128928817,3.75,784.0,1936.422119528694,3.702819531114783,784.0,1763.2264460357892,3.702819531114783,1.0
784.0,1986.3232680004533,3.8750000000000004,784.0,2279.1556550617597,3.75,784.0,1764.4364539421645,3.702819531114783,784.0,1938.009900645505,3.702819531114783,1.0
784.0,2040.715101379906,4.0,784.0,2173.489906808863,4.0,784.0,1790.9835635761708,4.0,784.0,1939.4330357091476,4.0,1.0
784.0,1879.8812462493474,3.75,784.0,1801.1570586708979,4.0,784.0,1833.56353857727,4.0,784.0,1857.8960883214108,4.0,1.0
784.0,1801.8886966180792,4.0,784.0,1883.15918073858,3.8750000000000004,784.0,1862.595433796615,4.0,784.0,1836.7360656882631,4.0,1.0
784.0,1907.9644257689922,3.8750000000000004,784.0,1822.2328336411897,3.702819531114783,784.0,1874.3028370570216,3.702819531114783,784.0,1864.8577693754555,4.0,1.0
784.0,1823.1410052434233,3.702819531114783,784.0,1911.2301993742146,3.8750000000000004,784.0,1868.8815505536995,4.0,784.0,1884.056959064667,3.8750000000000004,1.0
784.0,1955.602432755697,3.702819531114783,784.0,1881.2410797130708,3.702819531114783,784.0,1926.4775173876283,4.0,784.0,1864.0614260265138,4.0,1.0
784.0,1881.6004158694268,3.702819531114783,784.0,1957.1858304719049,3.702819531114783,784.0,1870.2648542385648,4.0,784.0,1938.182137983941,4.0,1.0
784.0,2020.8215841582848,3.8750000000000004,784.0,1946.384179703483,3.702819531114783,784.0,1902.8045419853297,4.0,784.0,1863.073301027096,4.0,1.0
784.0,1945.7686141985125,3.702819531114783,784.0,2021.5503642007043,3.8750000000000004,784.0,1862.0520937932965,3.75,784.0,1904.6814366187327,3.8750000000000004,1.0
784.0,2096.2716605917276,3.8750000000000004,784.0,2037.5530974676465,3.5,784.0,1951.9656439087241,3.8750000000000004,784.0,1910.891186069997,4.0,1.0
784.0,2038.4933468127876,3.375,784.0,2098.321829462773,3.8750000000000004,784.0,1911.0780334669748,3.8750000000000004,784.0,1956.0425928389188,4.0,1.0
784.0,2187.878567242707,3.75,784.0,2155.09837362474,3.702819531114783,784.0,2006.4368604568647,3.8750000000000004,784.0,1971.7882429409096,4.0,1.0
784.0,2155.7340977031467,3.702819531114783,784.0,2188.203915315024,3.8750000000000004,784.0,1971.1740473636517,4.0,784.0,2007.7624050170878,4.0,1.0
784.0,2064.04187820887,3.8750000000000004,784.0,2147.219015377798,3.8750000000000004,784.0,1880.5108348531257,4.0,784.0,1947.017430584534,3.8750000000000004,1.0
784.0,2148.478444155305,3.5778195311147827,784.0,2064.24641213204,4.0,784.0,1947.827604024545,4.0,784.0,1882.016737438857,4.0,1.0
784.0,2129.8217941884245,4.0,784.0,2207.33439356161,3.8750000000000004,784.0,1915.793830243745,4.0,784.0,1984.3887282989692,4.0,1.0
784.0,2208.28779827268,3.8750000000000004,784.0,2129.80606511485,3.8750000000000004,784.0,1986.5065756246568,4.0,784.0,1916.5708309373802,4.0,1.0
784.0,2208.7199064163838,3.702819531114783,784.0,2291.3616312140693,3.702819531114783,784.0,1966.8835120565732,3.8750000000000004,784.0,2045.6941670249735,3.8750000000000004,1.0
784.0,2291.2547053961503,3.702819531114783,784.0,2208.5591456875227,3.702819531114783,784.0,2047.375087764819,3.8750000000000004,784.0,1967.6687983499662,3.75,1.0
784.0,2319.4323928495955,3.75,784.0,2390.4740900080888,3.75,784.0,2052.410868953875,4.0,784.0,2114.727110054628,4.0,1.0
784.0,1854.5169519311492,3.702819531114783,784.0,1844.375842934406,3.5,784.0,1893.4615126798853,4.0,784.0,1841.7716674441488,4.0,1.0
784.0,2162.349156588732,3.8750000000000004,784.0,1952.6928201844753,3.8750000000000004,784.0,2085.476923871372,4.0,784.0,1894.907187700759,4.0,1.0
784.0,1952.4815300022688,3.8750000000000004,784.0,2162.509132928691,4.0,784.0,1895.6233473451418,4.0,784.0,2085.69496811015,3.8750000000000004,1.0
784.0,2241.6290672187492,4.0,784.0,2034.744732147008,3.5778195311147827,784.0,2137.455759776094,4.0,784.0,1937.9026033317566,4.0,1.0
784.0,2036.2327040394966,3.702819531114783,784.0,2242.0810087951772,4.0,784.0,1937.6434785584268,4.0,784.0,2138.6378842618496,4.0,1.0
784.0,2325.1974647328343,3.8750000000000004,784.0,2139.4698525569365,3.8750000000000004,784.0,2204.54451077768,3.8750000000000004,784.0,2014.6071887591388,4.0,1.0
784.0,2140.6552735085584,3.8750000000000004,784.0,2326.4235695590774,4.0,784.0,2014.9192601690024,4.0,784.0,2204.240458752175,3.8750000000000004,1.0
784.0,1785.3281211026729,4.0,784.0,1828.1100213061577,4.0,784.0,1780.5340139969244,3.8750000000000004,784.0,1849.1397662156314,4.0,1.0
784.0,1817.8788119673984,3.75,784.0,1859.7005471311772,3.8750000000000004,784.0,1841.0871448684877,3.702819531114783,784.0,1879.1958386501392,3.2743974703476995,1.0
784.0,1742.8139960994117,4.0,784.0,1800.9430862745219,4.0,784.0,1785.571442143943,3.8750000000000004,784.0,1842.8914780854568,3.702819531114783,1.0
784.0,1795.1443883431773,3.702819531114783,784.0,1820.5301082377077,3.75,784.0,1843.147240455846,3.702819531114783,784.0,1874.6580354827383,3.8750000000000004,1.0
784.0,1812.7524651755407,3.5,784.0,1854.1911646321691,3.702819531114783,784.0,1851.7590285995639,3.75,784.0,1891.8761521304718,3.5,1.0
784.0,1828.036036296878,3.5,784.0,1865.5141717499762,3.8750000000000004,784.0,1818.2280178789458,4.0,784.0,1860.8101394285231,3.702819531114783,1.0
784.0,1906.3530627876883,3.1493974703476995,784.0,1983.520229289331,3.375,784.0,1988.0017920012044,3.2743974703476995,784.0,2022.055977217248,2.771782221599798,1.0
784.0,1882.5413010077627,3.5778195311147836,784.0,1936.4344166534534,3.5778195311147836,784.0,1915.3174997895258,3.2743974703476995,784.0,1947.0966527114158,3.2743974703476995,1.0
784.0,1876.1848589624637,3.452819531114783,784.0,1967.609685633815,3.702819531114783,784.0,1937.3820609265483,3.375,784.0,1953.8336674343598,3.0306390622295667,1.0
784.0,1963.7742678322272,3.702819531114783,784.0,2033.9371917539636,3.8750000000000004,784.0,1942.3744811441484,3.75,784.0,1983.812554149207,3.5,1.0
784.0,1787.5376569460013,3.75,784.0,1753.2497326393636,4.0,784.0,1750.927290038053,3.8750000000000004,784.0,1840.0737417288472,3.5778195311147836,1.0
784.0,1783.276303605249,3.5,784.0,1671.3239886389472,3.5,784.0,1787.3549241826593,4.0,784.0,1816.1466075182366,3.5,1.0
784.0,1771.10816298723,4.0,784.0,1676.8969482350428,3.5,784.0,1774.2613251716896,4.0,784.0,1805.2104447958416,3.8750000000000004,1.0
784.0,1793.4864092041512,3.8750000000000004,784.0,1714.5005832603265,3.5,784.0,1772.9325988316646,3.8750000000000004,784.0,1829.4390875347558,3.702819531114783,1.0
784.0,1787.231623209482,4.0,784.0,1702.8268041700542,3.702819531114783,784.0,1777.7605997433964,3.8750000000000004,784.0,1835.1940633077472,3.8750000000000004,1.0
784.0,1770.4807256787633,4.0,784.0,1707.6240804111426,3.5,784.0,1802.605579432173,3.8750000000000004,784.0,1840.4500129044527,3.75,1.0
784.0,1793.0805545206272,3.702819531114783,784.0,1731.0633653913424,3.702819531114783,784.0,1807.0934535878325,4.0,784.0,1869.901568265025,3.8750000000000004,1.0
784.0,1785.1392802803932,3.8750000000000004,784.0,1764.0233487683772,3.702819531114783,784.0,1801.3166365189659,4.0,784.0,1885.6399112768058,3.702819531114783,1.0
784.0,1739.157985923073,4.0,784.0,1761.8262542032912,3.8750000000000004,784.0,1713.791009720847,4.0,784.0,1822.0681244124764,3.702819531114783,1.0
784.0,1744.625425413719,3.8750000000000004,784.0,1791.5470967853455,3.75,784.0,1747.5892323426579,3.75,784.0,1863.2934551487053,3.702819531114783,1.0
784.0,1731.6534006549925,4.0,784.0,1795.8931969914024,3.8750000000000004,784.0,1702.980915923605,4.0,784.0,1840.2248164286884,3.75,1.0
784.0,1759.053047807257,3.8750000000000004,784.0,1839.9018316203721,3.8750000000000004,784.0,1714.9879372753617,4.0,784.0,1862.7940371925179,3.8750000000000004,1.0
784.0,1807.3068361515152,3.8750000000000004,784.0,1898.2197910147286,3.702819531114783,784.0,1730.0705549196541,4.0,784.0,1886.7806576282258,4.0,1.0
784.0,1895.7939629611653,3.5,784.0,1981.8085490278822,3.2743974703476995,784.0,1771.9165118594046,3.8750000000000004,784.0,1920.2352720435067,3.8750000000000004,1.0
784.0,1968.5349882590353,3.5778195311147827,784.0,2077.70603671453,3.5,784.0,1815.0293041711475,3.8750000000000004,784.0,1960.1847808306236,3.8750000000000004,1.0
784.0,1862.9360227876855,3.8750000000000004,784.0,1772.508533124735,3.5778195311147836,784.0,1978.0118806518833,3.702819531114783,784.0,1935.378128428654,3.5,1.0
784.0,1854.4348532639262,3.8750000000000004,784.0,1749.5336521484803,3.8750000000000004,784.0,1953.6934892659083,4.0,784.0,1934.5941111768122,3.702819531114783,1.0
784.0,1881.0808063451182,3.8750000000000004,784.0,1767.0114954351598,3.8750000000000004,784.0,1965.9760616548717,4.0,784.0,1929.1309571929014,3.702819531114783,1.0
784.0,1922.0228601658202,3.702819531114783,784.0,1826.6730002931558,3.5778195311147827,784.0,1980.336461311562,4.0,784.0,1962.01003437801,3.5,1.0
784.0,1963.46890095056,3.8750000000000004,784.0,1877.4295592644748,3.702819531114783,784.0,1998.5090380080846,4.0,784.0,1985.8378899094457,3.702819531114783,1.0
784.0,2029.3705304847608,4.0,784.0,1958.527188986663,3.8750000000000004,784.0,2039.0046897935276,4.0,784.0,2034.9534392707858,3.8750000000000004,1.0
784.0,2117.6656074555303,3.2743974703476995,784.0,2061.246922374901,3.2743974703476995,784.0,2100.2342131295736,3.8750000000000004,784.0,2104.2198079098107,3.5,1.0
784.0,2197.89501569115,3.702819531114783,784.0,2158.936341118005,3.702819531114783,784.0,2146.640340159478,4.0,784.0,2154.6712916359193,4.0,1.0
784.0,1762.1639750602099,3.8750000000000004,784.0,1753.968001418498,3.8750000000000004,784.0,1914.5490330623554,4.0,784.0,1881.9302922797115,3.702819531114783,1.0
784.0,1809.2964102103338,4.0,784.0,1890.835066842161,3.8750000000000004,784.0,1955.5349332088138,3.8750000000000004,784.0,1881.8450055729882,3.5,1.0
784.0,1896.28614006431,3.702819531114783,784.0,1968.904422515222,3.8750000000000004,784.0,2009.5642873518627,3.2743974703476995,784.0,1931.769978542994,3.5,1.0
784.0,1962.1415277701046,3.702819531114783,784.0,1880.0194812820425,3.702819531114783,784.0,1867.6213815974586,4.0,784.0,1870.2596076480934,3.5,1.0
784.0,1974.2831610485869,3.702819531114783,784.0,1897.4599139375778,3.5,784.0,1836.7364059657552,4.0,784.0,1857.9077950748795,3.702819531114783,1.0
784.0,2003.846894101443,3.702819531114783,784.0,1931.653889805314,3.8750000000000004,784.0,1894.8077409067128,3.8750000000000004,784.0,1875.8018951904276,3.702819531114783,1.0
